"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Particuliere huishoudens/Particuliere huishoudens/Totaal aantal particuliere huishoudens (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (personen per 1 huishouden)";"Bouwen en wonen/Woningvoorraad/Woningen naar eigendom/Koopwoningen (%)";"Landbouw/Graasdieren/Rundvee (aantal)"
"2020";"Tytsjerksteradiel";32052;13639;2,29;71,9;24504
"2020";"Ubbergen";;;;;
"2020";"Uden";42119;18724;2,22;61,9;6195
"2020";"Udenhout";;;;;
"2020";"Uitgeest";13666;5701;2,39;72,1;2305
"2020";"Uithoorn";29478;12792;2,28;60,1;566
"2020";"Urk";21031;6346;3,28;78;315
"2020";"Utrecht";357597;181670;1,95;45,3;1564
"2020";"Utrechtse Heuvelrug";49580;21590;2,22;64,1;15995
"2020";"Vaals";10105;5488;1,81;43,9;2222
"2020";"Valburg";;;;;
"2020";"Valkenburg (ZH.)";;;;;
"2020";"Valkenburg aan de Geul";16367;7894;2,02;60,5;2020
"2020";"Valkenisse";;;;;
"2020";"Valkenswaard";31193;14493;2,13;59,8;4148
"2020";"Veendam";27384;12654;2,14;65;1468
"2020";"Veenendaal";66493;28021;2,35;59,2;857
"2020";"Veere";21880;9450;2,28;78,4;6320
"2020";"Veghel";;;;;
"2020";"Veldhoven";45466;20019;2,24;68,1;1439
"2020";"Velsen";68648;31058;2,18;56,5;401
"2020";"Venhuizen";;;;;
"2020";"Venlo";101802;47964;2,1;58,8;1661
"2020";"Venray";43614;19000;2,25;63,9;14873
"2020";"Vessem, Wintelre en Knegsel";;;;;
"2020";"Vianen";;;;;
"2020";"Vierlingsbeek";;;;;
"2020";"Vijfheerenlanden";56811;23339;2,4;62,3;21519
"2020";"Vlaardingen";73397;34717;2,08;47,1;27
"2020";"Vlagtwedde";;;;;
"2020";"Vledder";;;;;
"2020";"Vleuten-De Meern";;;;;
"2020";"Vlieland";1155;643;1,77;38,7;0
"2020";"Vlijmen";;;;;
"2020";"Vlissingen";44360;22342;1,96;55,7;488
"2020";"Vlist";;;;;
"2020";"Voerendaal";12475;5605;2,21;70,5;1999
"2020";"Voorburg";;;;;
"2020";"Voorhout";;;;;
"2020";"Voorschoten";25596;11225;2,25;63,2;366
"2020";"Voorst";24552;10149;2,35;66,4;30992
"2020";"Vorden";;;;;
"2020";"Vries";;;;;
"2020";"Vriezenveen";;;;;
"2020";"Vught";26558;11272;2,26;62,5;1971
"2020";"Waadhoeke";46090;20299;2,23;67,3;35870
"2020";"Waalre";17456;7579;2,29;74,8;1396
"2020";"Waalwijk";48637;21824;2,2;60,3;4588
"2020";"Waddinxveen";29291;12186;2,38;63,1;123
"2020";"Wageningen";39664;22676;1,71;42,8;1199
"2020";"Warmond";;;;;
"2020";"Warnsveld";;;;;
"2020";"Waspik";;;;;
"2020";"Wassenaar";26305;11529;2,24;56,4;1265
"2020";"Wateringen";;;;;
"2020";"Waterland";17424;7558;2,29;69,2;7004
"2020";"Weerselo";;;;;
"2020";"Weert";50105;22729;2,16;66,1;6535
"2020";"Weesp";19738;9174;2,12;55,3;1877
"2020";"Wehl";;;;;
"2020";"Werkendam";;;;;
"2020";"Wervershoof";;;;;
"2020";"West Betuwe";51128;20513;2,46;71,6;29438
"2020";"West Maas en Waal";19324;8303;2,3;71;9620
"2020";"Westerbork";;;;;
"2020";"Westerhoven";;;;;
"2020";"Wester-Koggenland";;;;;
"2020";"Westerkwartier";63329;26371;2,36;71,7;62053
"2020";"Westerschouwen";;;;;
"2020";"Westerveld";19460;8728;2,17;74,3;21361
"2020";"Westervoort";14971;6697;2,21;58,8;0
"2020";"Westerwolde";25733;11205;2,15;67,1;16882
"2020";"Westkapelle";;;;;
"2020";"Westland";110375;46574;2,34;68,6;233
"2020";"Weststellingwerf";25914;11356;2,24;64,6;41250
"2020";"Westvoorne";14731;6668;2,19;72,6;1298
"2020";"Wierden";24446;9633;2,52;72,5;20486
"2020";"Wieringen";;;;;
"2020";"Wieringermeer";;;;;
"2020";"Wijchen";41110;17729;2,29;67,5;8141
"2020";"Wijdemeren";24358;10667;2,26;69,1;2683
"2020";"Wijhe";;;;;
"2020";"De Wijk";;;;;
"2020";"Wijk bij Duurstede";23914;10096;2,35;70,2;5980
"2020";"Willemstad";;;;;
"2020";"Winschoten";;;;;
"2020";"Winsum";;;;;
"2020";"Winterswijk";28854;12772;2,22;70,1;14756
"2020";"Wisch";;;;;
"2020";"Wittem";;;;;
"2020";"Woensdrecht";21876;9622;2,24;71,8;3041
"2020";"Woerden";52299;21873;2,36;66,5;16832
"2020";"Wognum";;;;;
"2020";"De Wolden";24330;10201;2,35;73,9;31864
"2020";"Wormerland";16270;7107;2,28;64,2;5281
"2020";"Woudenberg";13362;5135;2,54;72,1;10083
"2020";"Woudrichem";;;;;
"2020";"Wouw";;;;;
"2020";"Wûnseradiel";;;;;
"2020";"Wymbritseradiel";;;;;
"2020";"Zaanstad";156794;70358;2,2;54,7;4299
"2020";"Zaltbommel";28881;11862;2,41;67,3;7856
"2020";"Zandvoort";17116;8555;1,96;52,3;0
"2020";"Zederik";;;;;
"2020";"Zeevang";;;;;
"2020";"Zeewolde";22653;9668;2,33;70,5;20775
"2020";"Zeist";64905;29324;2,14;52,2;643
"2020";"Zelhem";;;;;
"2020";"Zevenaar";43750;19850;2,18;63,4;9879
"2020";"Zevenbergen";;;;;
"2020";"Zevenhuizen-Moerkapelle";;;;;
"2020";"Zierikzee";;;;;
"2020";"Zijpe";;;;;
"2020";"Zoetermeer";125285;56027;2,22;54,7;1039
"2020";"Zoeterwoude";8605;3479;2,36;74,4;3670
"2020";"Zuidhorn";;;;;
"2020";"Zuidlaren";;;;;
"2020";"Zuidplas";43885;17847;2,43;67,6;1982
"2020";"Zuidwolde";;;;;
"2020";"Zundert";21829;9501;2,25;74,7;13979
"2020";"Zutphen";47934;22046;2,1;56,1;2879
"2020";"Zwartewaterland";22685;8565;2,62;71,8;18187
"2020";"Zwartsluis";;;;;
"2020";"Zweeloo";;;;;
"2020";"Zwijndrecht";44737;20162;2,19;56,6;136
"2020";"Zwolle";128840;60093;2,11;53,1;11097
